recipe_id,recipe_name,row_order,row_type,ing_name,ing_qty,sr28_long_desc,ndb_no,portion_desc,portion_grams,serving_count,notes,game_food,animal
SWEET_002,Apple Strudel,13,ingredient,ground cinnamon,1 teaspoon,"Spices, cinnamon, ground",2010,g,3,1,optional;section=filling,,
SWEET_002,Apple Strudel,14,ingredient,large egg (beaten (for sealing and basting the pastry)),1 large egg,"Egg, whole, raw, fresh",1123,g,50,1,section=finish,,
SWEET_004,Pie Blueberry,0,dish,,custom (g),"Pie, blueberry, prepared from recipe",18306,custom (g),100.0,1,,,
SWEET_004,Pie Blueberry,1,ingredient,all-purpose enriched white flour,2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,250,1,section=crust,,
SWEET_004,Pie Blueberry,2,ingredient,salt,3/4 teaspoon,"Salt, table",2047,g,4.5,1,section=crust,,
SWEET_004,Pie Blueberry,3,ingredient,unsalted butter (chilled),3/4 cup,"Butter, without salt",1145,g,170,1,section=crust,,
SWEET_004,Pie Blueberry,4,ingredient,ice water,5 tablespoon ice water,"Water, tap, drinking",14411,g,75,1,section=crust,,
SWEET_004,Pie Blueberry,5,ingredient,sugar,2 teaspoons,"Sugars, granulated",19335,g,8,1,section=crust,,
SWEET_004,Pie Blueberry,6,ingredient,blueberries (fresh),5 cups,"Blueberries, raw",9050,g,740,1,section=filling,,
SWEET_004,Pie Blueberry,7,ingredient,sugar,1/2 cup,"Sugars, granulated",19335,g,100,1,section=filling,,
SWEET_004,Pie Blueberry,8,ingredient,cornstarch,1/4 cup,Cornstarch,20027,g,32,1,section=filling,,
SWEET_004,Pie Blueberry,9,ingredient,lemon juice,1 tablespoon,"Lemon juice, raw",9152,g,15,1,section=filling,,
SWEET_004,Pie Blueberry,10,ingredient,ground cinnamon,1/2 teaspoon,"Spices, cinnamon, ground",2010,g,1.3,1,section=filling,,
SWEET_004,Pie Blueberry,11,ingredient,salt,1/4 teaspoon,"Salt, table",2047,g,1.5,1,section=filling,,
SWEET_004,Pie Blueberry,12,ingredient,unsalted butter (dotted on top of filling),1 tablespoon,"Butter, without salt",1145,g,14,1,section=filling,,
SWEET_004,Pie Blueberry,13,ingredient,large egg (beaten with 1 tsp water; brush onto lattice),1 large egg (for wash; ~half adheres),"Egg, whole, raw, fresh",1123,g,25,1,section=wash,,
SWEET_004,Pie Blueberry,14,ingredient,ice water,1 teaspoon (egg wash),"Water, tap, drinking",14411,g,5,1,section=wash,,
SWEET_005,Pie Cherry,0,dish,,custom (g),"Pie, cherry, prepared from recipe",18309,custom (g),100.0,1,,,
SWEET_005,Pie Cherry,1,ingredient,all-purpose enriched white flour,2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,250,1,section=crust,,
SWEET_005,Pie Cherry,2,ingredient,salt,3/4 teaspoon,"Salt, table",2047,g,4.5,1,section=crust,,
SWEET_005,Pie Cherry,3,ingredient,unsalted butter (chilled),3/4 cup,"Butter, without salt",1145,g,170,1,section=crust,,
SWEET_005,Pie Cherry,4,ingredient,ice water,5 tablespoon ice water,"Water, tap, drinking",14411,g,75,1,section=crust,,
SWEET_005,Pie Cherry,5,ingredient,sugar,2 teaspoons,"Sugars, granulated",19335,g,8,1,section=crust,,
SWEET_005,Pie Cherry,6,ingredient,"fresh or thawed frozen tart cherries, pitted",4 cups (pitted),"Cherries, sour, red, raw",9063,g,620,1,section=filling,,
SWEET_005,Pie Cherry,7,ingredient,sugar,1 cup,"Sugars, granulated",19335,g,200,1,section=filling,,
SWEET_005,Pie Cherry,8,ingredient,cornstarch,1/4 cup,Cornstarch,20027,g,32,1,section=filling,,
SWEET_005,Pie Cherry,9,ingredient,lemon juice,1 tablespoon,"Lemon juice, raw",9152,g,15,1,section=filling,,
SWEET_005,Pie Cherry,10,ingredient,salt,1/4 teaspoon,"Salt, table",2047,g,1.5,1,section=filling,,
SWEET_005,Pie Cherry,11,ingredient,unsalted butter (dotted on top of filling),1 tablespoon,"Butter, without salt",1145,g,14,1,section=filling,,
SWEET_005,Pie Cherry,12,ingredient,large egg (beaten with 1 tsp water; brush onto lattice),1 large egg (for wash; ~half adheres),"Egg, whole, raw, fresh",1123,g,25,1,section=wash,,
SWEET_005,Pie Cherry,13,ingredient,ice water,1 teaspoon (egg wash),"Water, tap, drinking",14411,g,5,1,section=wash,,
SWEET_006,Pie Lemon Meringue,0,dish,,custom (g),"Pie, lemon meringue, prepared from recipe",18321,custom (g),100.0,1,,,
SWEET_006,Pie Lemon Meringue,1,ingredient,all-purpose enriched white flour,1 1/2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,188,1,section=crust,,
SWEET_006,Pie Lemon Meringue,2,ingredient,salt,1/2 teaspoon,"Salt, table",2047,g,3,1,section=crust,,
SWEET_006,Pie Lemon Meringue,3,ingredient,unsalted butter (chilled),6 tablespoons,"Butter, without salt",1145,g,85,1,section=crust,,
SWEET_006,Pie Lemon Meringue,4,ingredient,ice water,3 tablespoon ice water,"Water, tap, drinking",14411,g,45,1,section=crust,,
SWEET_006,Pie Lemon Meringue,5,ingredient,sugar,1 cup,"Sugars, granulated",19335,g,200,1,section=filling,,
SWEET_006,Pie Lemon Meringue,6,ingredient,finely grated zest,1 tablespoon,"Lemon peel, raw",9156,g,6,1,section=filling,,
SWEET_006,Pie Lemon Meringue,7,ingredient,egg yolks (reserve whites),5 large yolks,"Egg, yolk, raw, fresh",1125,g,85,1,section=filling,,
SWEET_006,Pie Lemon Meringue,8,ingredient,salt,1/2 teaspoon,"Salt, table",2047,g,3,1,section=filling,,
SWEET_006,Pie Lemon Meringue,9,ingredient,unsalted butter (cut into 1/2-inch pieces),6 tablespoons,"Butter, without salt",1145,g,85,1,section=filling,,
SWEET_006,Pie Lemon Meringue,10,ingredient,lemon juice (fresh squeezed),2/3 cup,"Lemon juice, raw",9152,g,160,1,section=filling,,
SWEET_006,Pie Lemon Meringue,11,ingredient,ice water (whisked with cornstarch into slurry),1 cup,"Water, tap, drinking",14411,g,237,1,section=filling,,
SWEET_006,Pie Lemon Meringue,12,ingredient,cornstarch (slurry with water),1/4 cup,Cornstarch,20027,g,32,1,section=filling,,
SWEET_006,Pie Lemon Meringue,13,ingredient,egg whites (room temperature; pair with 5 yolks above),5 large whites,"Egg, white, raw, fresh",1124,g,165,1,section=topping,,
SWEET_006,Pie Lemon Meringue,14,ingredient,sugar,2/3 cup,"Sugars, granulated",19335,g,133,1,section=topping,,
SWEET_006,Pie Lemon Meringue,15,ingredient,salt,1/4 teaspoon,"Salt, table",2047,g,1.5,1,section=topping,,
SWEET_007,Pie Mince,0,dish,,custom (g),"Pie, mince, prepared from recipe",18322,custom (g),100.0,1,,,
SWEET_007,Pie Mince,1,ingredient,all-purpose enriched white flour,2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,250,1,section=crust,,
SWEET_007,Pie Mince,2,ingredient,salt,1 teaspoon,"Salt, table",2047,g,6,1,section=crust,,
SWEET_007,Pie Mince,3,ingredient,"unsalted butter (chilled, cubed)",3/4 cup,"Butter, without salt",1145,g,170,1,section=crust,,
SWEET_007,Pie Mince,4,ingredient,ice water,5 tablespoons,"Water, tap, drinking",14411,g,75,1,section=crust,,
SWEET_007,Pie Mince,5,ingredient,sugar,2 teaspoons,"Sugars, granulated",19335,g,8,1,section=crust,,
SWEET_007,Pie Mince,6,ingredient,dark raisins,1/2 cup,"Raisins, seedless",9298,g,75,1,section=filling,,
SWEET_007,Pie Mince,7,ingredient,golden raisins,1/2 cup,"Raisins, golden seedless",9297,g,75,1,section=filling,,
SWEET_007,Pie Mince,8,ingredient,currants,1/2 cup,"Currants, zante, dried",9085,g,75,1,section=filling,,
SWEET_007,Pie Mince,9,ingredient,dried cranberries,1/2 cup,"Cranberries, dried, sweetened",9079,g,60,1,section=filling,,
SWEET_007,Pie Mince,10,ingredient,"medjool dates (pitted, chopped)",1/2 cup,"Dates, medjool",9421,g,75,1,section=filling,,
SWEET_007,Pie Mince,11,ingredient,dried apricots (chopped),1/2 cup,"Apricots, dried, sulfured, uncooked",9032,g,65,1,section=filling,,
SWEET_007,Pie Mince,12,ingredient,mixed candied peel/citron,1/3 cup,Candied fruit,9426,g,60,1,section=filling,,
SWEET_007,Pie Mince,13,ingredient,"peeled, cored, finely chopped",3 medium apples,"Apples, raw, granny smith, with skin",9502,g,360,1,section=filling,,
SWEET_007,Pie Mince,14,ingredient,brown sugar (packed),1/2 cup,"Sugars, brown",19334,g,110,1,section=filling,,
SWEET_007,Pie Mince,15,ingredient,unsalted butter (cut into pieces),3 tablespoons,"Butter, without salt",1145,g,42,1,section=filling,,
SWEET_007,Pie Mince,16,ingredient,ice water (or unsweetened apple juice),2/3 cup,"Water, tap, drinking",14411,g,160,1,section=filling,,
SWEET_007,Pie Mince,17,ingredient,grated zest,zest of 1 lemon,"Lemon peel, raw",9156,g,6,1,section=filling,,
SWEET_007,Pie Mince,18,ingredient,lemon juice,2 tablespoons,"Lemon juice, raw",9152,g,30,1,section=filling,,
SWEET_007,Pie Mince,19,ingredient,ground cinnamon,1 teaspoon,"Spices, cinnamon, ground",2010,g,2.6,1,section=filling,,
SWEET_007,Pie Mince,20,ingredient,ground nutmeg,1/4 teaspoon,"Spices, nutmeg, ground",2025,g,0.5,1,section=filling,,
SWEET_007,Pie Mince,21,ingredient,ground cloves,1/4 teaspoon,"Spices, cloves, ground",2011,g,0.5,1,section=filling,,
SWEET_007,Pie Mince,22,ingredient,ground ginger,1/8 teaspoon,"Spices, ginger, ground",2021,g,0.2,1,section=filling,,
SWEET_007,Pie Mince,23,ingredient,allspice,1/4 teaspoon,"Spices, allspice, ground",2001,g,0.5,1,section=filling,,
SWEET_007,Pie Mince,24,ingredient,salt,3/4 teaspoon,"Salt, table",2047,g,4.5,1,section=filling,,
SWEET_007,Pie Mince,25,ingredient,~25g of beaten egg adheres to lattice,1 large egg,"Egg, whole, raw, fresh",1123,g,25,1,section=wash,,
SWEET_007,Pie Mince,26,ingredient,ice water,1 teaspoon,"Water, tap, drinking",14411,g,5,1,section=wash,,
SWEET_008,Pie Peach,0,dish,,custom (g),"Pie, peach",18323,custom (g),100.0,1,,,
SWEET_008,Pie Peach,1,ingredient,all-purpose enriched white flour,2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,250,1,section=crust,,
SWEET_008,Pie Peach,2,ingredient,salt,1 teaspoon,"Salt, table",2047,g,6,1,section=crust,,
SWEET_008,Pie Peach,3,ingredient,"unsalted butter (chilled, cubed)",3/4 cup,"Butter, without salt",1145,g,170,1,section=crust,,
SWEET_008,Pie Peach,4,ingredient,ice water,5 tablespoons,"Water, tap, drinking",14411,g,75,1,section=crust,,
SWEET_008,Pie Peach,5,ingredient,sugar,2 teaspoons,"Sugars, granulated",19335,g,8,1,section=crust,,
