ndb_no,in_food_portions_csv,csv_word,csv_display,usda_desc,use_count,recipe_ids,roles,example_name
14411,yes,WATER,Water,"Water, tap, drinking",25,SWEET_001;SWEET_002;SWEET_003;SWEET_004;SWEET_005;SWEET_006;SWEET_007;SWEET_008;SWEET_009;SWEET_010;SWEET_011;SWEET_014;SWEET_015;SWEET_017;SWEET_019;SWEET_020;SWEET_021;SWEET_024,ingredient,ice water
18079,NO,,,"Bread crumbs, dry, grated, plain",1,SWEET_002,ingredient,dry bread crumbs
18086,yes,CAKEANGELFOOD,Cake Angel Food,"Cake, angelfood, commercially prepared",1,SWEET_025,canonical,
18090,yes,PIEBOSTONCREAM,Pies Boston Cream,"Cake, boston cream pie, commercially prepared",1,SWEET_012,canonical,
18102,yes,CAKEWHITECOCONUTFROSTING,Cake White Coconut Frosting,"Cake, white, prepared from recipe with coconut frosting",1,SWEET_017,canonical,
18104,yes,CAKECOFFEECAKE,Cake Coffee,"Coffeecake, cinnamon with crumb topping, commercially prepared, enriched",1,SWEET_027,canonical,
18116,yes,CAKEGINGERBREAD,Cake Gingerbread,"Cake, gingerbread, prepared from recipe",1,SWEET_021,canonical,
18119,yes,CAKEPINEAPPLE,Cake Pineapple,"Cake, pineapple upside-down, prepared from recipe",1,SWEET_022,canonical,
18120,yes,CAKEPOUND,Cake Pound,"Cake, pound, commercially prepared, butter (includes fresh and frozen)",1,SWEET_028,canonical,
18126,yes,CAKESHORTCAKE,Cake Shortcake,"Cake, shortcake, biscuit-type, prepared from recipe",1,SWEET_023,canonical,
18134,yes,CAKESPONGE,Cake Sponge,"Cake, sponge, prepared from recipe",1,SWEET_024,canonical,
18139,yes,CAKEWHITE,Cake White no Frosting,"Cake, white, prepared from recipe without frosting",1,SWEET_016,canonical,
18140,yes,CAKEYELLOWCHOCOLATEFROSTING,Cake Yellow Choc Frosting,"Cake, yellow, commercially prepared, with chocolate frosting, in-store bakery",1,SWEET_020,canonical,
18146,NO,,,,1,SWEET_018,canonical,
18147,yes,CAKECHEESECAKE,Cake Cheesecake,Cheesecake commercially prepared,1,SWEET_026,canonical,
18166,yes,COOKIESCHOCOLATESANDWICH,Cookies Choc Sandwich,"Cookies, chocolate sandwich, with creme filling, regular",1,SWEET_013,ingredient,chocolate sandwich cookies
18173,yes,GRAHAM,Graham,"Cookies, graham crackers, plain or honey (includes cinnamon)",1,SWEET_026,ingredient,graham crackers
18211,NO,,,"Puff pastry, frozen, ready-to-bake, baked",1,SWEET_002,ingredient,puff pastry sheet
18302,yes,APPLEPIE,Pie Apple,"Pie, apple, prepared from recipe",1,SWEET_001,canonical,
18304,yes,PIEBANANACREAM,Pies Banana Cream,"Pie, banana cream, prepared from recipe",1,SWEET_003,canonical,
18306,yes,PIEBLUEBERRY,Pies Blueberry,"Pie, blueberry, prepared from recipe",1,SWEET_004,canonical,
