word,display,has_recipe,NDB_NO,usda_desc,group1,group2,matched_recipe_id,matched_recipe_name
MEATBALLS,Meatballs,1,43132,"Meatballs, meatless",protein,,,
MILKSHAKECHOC,Milkshake Choc,1,1110,"Milk shakes, thick chocolate",dairy,beverage,BEV_001,Milkshake Choc
MILKSHAKEVANILLA,Milkshake Vanilla,1,1111,"Milk shakes, thick vanilla",dairy,beverage,BEV_002,Milkshake Vanilla
MUFFINCORN,Muffin Corn,1,18282,"Muffins, corn, prepared from recipe, made with low fat (2%) milk",prepared,,,
MUFFUNBLUEBERRY,Muffin Blueberry,1,18278,"Muffins, blueberry, prepared from recipe, made with low fat (2%) milk",prepared,,,
PANCAKE,Pancake Buttermilk,1,18390,"Pancakes, buttermilk, prepared from recipe",prepared,,,
PANCAKEBLUEBERRY,Pancake Blueberry,1,18294,"Pancakes, blueberry, prepared from recipe",prepared,,,
PANCAKEGLUTENFREE,Pancake Gluten Free,1,28347,"Pancakes, gluten-free, frozen, ready-to-heat",prepared,,,
PANCAKEPLAIN,Pancake Plain,1,18293,"Pancakes, plain, prepared from recipe",prepared,,,
PASTAPOMODOROCHIC,Pasta Chicken Pomodoro,1,22984,"KASHI, Chicken Pasta Pomodoro, Frozen Entree",,prepared,,
PASTAPRIMAVERAPESTO,Pasta Pesto Primavera,1,22987,"KASHI Pesto Pasta Primavera, frozen, unprepared",,prepared,,
PASTATOMATOMEATLESS,Pasta with Tomato Sauce Meatless,1,22914,"Pasta with tomato sauce, no meat, canned",,prepared,,
PASTATORTCHEESE,Pasta Cheese Tortellini,1,22901,"Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",,prepared,,
PEANUTSAUCE,Peanut Sauce,1,27059,"Sauce, peanut, made from peanut butter, water, soy sauce",spice,,,
PIEBANANACREAM,Pies Banana Cream,1,18304,"Pie, banana cream, prepared from recipe",sweets,,SWEET_030,Pies Banana Cream
PIEBLUEBERRY,Pies Blueberry,1,18306,"Pie, blueberry, prepared from recipe",sweets,,SWEET_031,Pies Blueberry
PIEBOSTONCREAM,Pies Boston Cream,1,18090,"Cake, boston cream pie, commercially prepared",sweets,,SWEET_032,Pies Boston Cream
PIECHERRY,Pies Cherry,1,18309,"Pie, cherry, prepared from recipe",sweets,,SWEET_033,Pies Cherry
PIECHOCOLATE,Pies Chocolate,1,18310,"Pie, chocolate creme, commercially prepared",sweets,,SWEET_034,Pies Chocolate
