ingredient_key,food_word,legacy_ndb,ledger_long_desc,foundation_ndb,foundation_long_desc,foundation_key10
tuna_canned_light_water,TUNALIGHT,15121,"Fish, tuna, light, canned in water, drained solids",015121,"Fish, tuna, light, canned in water, drained solids",2
walnuts_raw,WALNUTRAW,12155,"Nuts, walnuts, english",012155,"Nuts, walnuts, English, halves, raw",4
yogurt_greek_whole_milk,GREEKYOGURT,1293,"Yogurt, Greek, plain, whole milk",01293,"Yogurt, Greek, plain, whole milk",4
collard_greens_raw,COLLARDRAW,11161,"Collards, raw",011161,"Collards, raw",2
brussels_sprouts_raw,BRUSSELSPROUTSRAW,11098,"Brussels sprouts, raw",011098,"Brussels sprouts, raw",2
mushroom_shiitake_raw,SHIITAKE,11238,"Mushrooms, shiitake, raw",011238,"Mushrooms, shiitake",4
green_beans_raw,GREENBEANS,11052,"Beans, snap, green, raw",011052,"Beans, snap, green, raw",2
flaxseed_ground,FLAXSEED,12220,"Seeds, flaxseed",012220,"Flaxseed, ground",2
chia_seeds,CHIA,12006,"Seeds, chia seeds, dried",012006,"Chia seeds, dry, raw",2
buckwheat_groats_raw,BUCKWHEATGROATS,20008,Buckwheat,020008,"Buckwheat, whole grain",2
hummus_commercial,HUMMUS,16158,"Hummus, commercial",016158,"Hummus, commercial",11
strawberries_raw,STRAWBERRIES,9316,"Strawberries, raw",09316,"Strawberries, raw",11
raspberries_raw,RASPBERRIES,9302,"Raspberries, raw",09302,"Raspberries, raw",9
kale_raw,KALERAW,11233,"Kale, raw",011233,"Kale, raw",11
grapefruit_juice,GRAPEFRUITJUICE,9123,"Grapefruit juice, white, canned or bottled, unsweetened",09123,"Grapefruit juice, white, canned or bottled, unsweetened",8
tomato_juice,TOMATOJUICE,11540,"Tomato juice, canned, with salt added",011540,"Tomato juice, with added ingredients, from concentrate, shelf stable",2
pineapple_raw,PINEAPPLE,9266,"Pineapple, raw, all varieties",09266,"Pineapple, raw",7
