foundation_ndb,legacy_ndb,foundation_food,existing_food
09412,9412,"Pears, raw, bartlett","Pears, raw, bartlett"
09415,9415,"Pear, Anjou, green, with skin, raw","Pears, raw, green anjou"
09500,9500,"Apples, red delicious, with skin, raw","Apples, raw, red delicious, with skin"
09501,9501,"Apples, honeycrisp, with skin, raw","Apples, raw, golden delicious, with skin"
09502,9502,"Apples, granny smith, with skin, raw","Apples, raw, granny smith, with skin"
09503,9503,"Apples, gala, with skin, raw","Apples, raw, gala, with skin"
09504,9504,"Apples, fuji, with skin, raw","Apples, raw, fuji, with skin"
010219,10219,"Pork, ground, raw","Pork, fresh, ground, raw"
011052,11052,"Beans, snap, green, raw","Beans, snap, green, raw"
011056,11056,"Beans, snap, green, canned, regular pack, drained solids","Beans, snap, green, canned, regular pack, drained solids"
011080,11080,"Beets, raw","Beets, raw"
011086,11086,"Beet greens, raw","Beet greens, raw"
011090,11090,"Broccoli, raw","Broccoli, raw"
011098,11098,"Brussels sprouts, raw","Brussels sprouts, raw"
011109,11109,"Cabbage, green, raw","Cabbage, raw"
011112,11112,"Cabbage, red, raw","Cabbage, red, raw"
011116,11116,"Cabbage, bok choy, raw","Cabbage, chinese (pak-choi), raw"
011124,11124,"Carrots, mature, raw","Carrots, raw"
011130,11130,"Carrots, frozen, unprepared","Carrots, frozen, unprepared"
011135,11135,"Cauliflower, raw","Cauliflower, raw"
011143,11143,"Celery, raw","Celery, raw"
011161,11161,"Collards, raw","Collards, raw"
011205,11205,"Cucumber, with peel, raw","Cucumber, with peel, raw"
011209,11209,"Eggplant, raw","Eggplant, raw"
011215,11215,"Garlic, raw","Garlic, raw"
011233,11233,"Kale, raw","Kale, raw"
011236,11236,"Kale, frozen, cooked, boiled, drained, without salt","Kale, frozen, cooked, boiled, drained, without salt"
011238,11238,"Mushrooms, shiitake","Mushrooms, shiitake, raw"
011243,11243,"Mushroom, portabella","Mushrooms, portabella, grilled"
011251,11251,"Lettuce, cos or romaine, raw","Lettuce, cos or romaine, raw"
011252,11252,"Lettuce, iceberg, raw","Lettuce, iceberg (includes crisphead types), raw"
011253,11253,"Lettuce, leaf, green, raw","Lettuce, green leaf, raw"
011257,11257,"Lettuce, leaf, red, raw","Lettuce, red leaf, raw"
011260,11260,"Mushrooms, white button","Mushrooms, white, raw"
011266,11266,"Mushroom, crimini","Mushrooms, brown, italian, or crimini, raw"
011296,11296,"Onion rings, breaded, par fried, frozen, prepared, heated in oven","Onion rings, breaded, par fried, frozen, prepared, heated in oven"
011298,11298,"Parsnips, raw","Parsnips, raw"
011333,11333,"Peppers, bell, green, raw","Peppers, sweet, green, raw"
011413,11413,"Flour, potato","Potato flour"
011457,11457,"Spinach, mature","Spinach, raw"
011482,11482,"Squash, winter, acorn, raw","Squash, winter, acorn, raw"
011485,11485,"Squash, winter, butternut, raw","Squash, winter, butternut, raw"
011540,11540,"Tomato juice, with added ingredients, from concentrate, shelf stable","Tomato juice, canned, with salt added"
011546,11546,"Tomato, paste, canned, without salt added","Tomato products, canned, paste, without salt added"
011564,11564,"Turnips, raw","Turnips, raw"
011693,11693,"Tomatoes, crushed, canned","Tomatoes, crushed, canned"
011821,11821,"Peppers, bell, red, raw","Peppers, sweet, red, raw"
011937,11937,"Pickles, cucumber, dill or kosher dill","Pickles, cucumber, dill or kosher dill"
011950,11950,"Mushroom, enoki","Mushrooms, enoki, raw"
011951,11951,"Peppers, bell, yellow, raw","Peppers, sweet, yellow, raw"
011952,11952,"Radicchio, raw","Radicchio, raw"
011957,11957,"Fennel, bulb, raw","Fennel, bulb, raw"
011960,11960,"Carrots, baby, raw","Carrots, baby, raw"
011987,11987,"Mushroom, oyster","Mushrooms, oyster, raw"
011993,11993,"Mushroom, maitake","Mushrooms, maitake, raw"
012006,12006,"Chia seeds, dry, raw","Seeds, chia seeds, dried"
012014,12014,"Seeds, pumpkin seeds (pepitas), raw","Seeds, pumpkin and squash seed kernels, dried"
012036,12036,"Seeds, sunflower seed, kernel, raw","Seeds, sunflower seed kernels, dried"
012061,12061,"Nuts, almonds, whole, raw","Nuts, almonds"
012087,12087,"Nuts, cashew nuts, raw","Nuts, cashew nuts, raw"
012120,12120,"Nuts, hazelnuts or filberts, raw","Nuts, hazelnuts or filberts"
012131,12131,"Nuts, macadamia nuts, raw","Nuts, macadamia nuts, raw"
012142,12142,"Nuts, pecans, halves, raw","Nuts, pecans"
012147,12147,"Nuts, pine nuts, raw","Nuts, pine nuts, dried"
012151,12151,"Nuts, pistachio nuts, raw","Nuts, pistachio nuts, raw"
012155,12155,"Nuts, walnuts, English, halves, raw","Nuts, walnuts, english"
012195,12195,"Almond butter, creamy","Nuts, almond butter, plain, without salt added"
012220,12220,"Flaxseed, ground","Seeds, flaxseed"
012537,12537,"Seeds, sunflower seed kernels, dry roasted, with salt added","Seeds, sunflower seed kernels, dry roasted, with salt added"
012563,12563,"Nuts, almonds, dry roasted, with salt added","Nuts, almonds, dry roasted, with salt added"
013236,13236,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled","Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
013468,13468,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw","Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
014091,14091,"Almond milk, unsweetened, plain, shelf stable","Beverages, almond milk, unsweetened, shelf stable"
015033,15033,"Fish, haddock, raw","Fish, haddock, raw"
015066,15066,"Fish, pollock, raw","Fish, pollock, Alaska, raw (may have been previously frozen)"
015121,15121,"Fish, tuna, light, canned in water, drained solids","Fish, tuna, light, canned in water, drained solids"
015234,15234,"Fish, catfish, farm raised, raw","Fish, catfish, channel, farmed, raw"
015236,15236,"Fish, salmon, Atlantic, farm raised, raw","Fish, salmon, Atlantic, farmed, raw"
016087,16087,"Peanuts, raw","Peanuts, all types, raw"
016098,16098,"Peanut butter, creamy","Peanut butter, smooth style, with salt"
016115,16115,"Flour, soy, full-fat","Soy flour, full-fat, raw"
016117,16117,"Flour, soy, defatted","Soy flour, defatted"
016158,16158,"Hummus, commercial","Hummus, commercial"
016222,16222,"Soy milk, unsweetened, plain, shelf stable","Soymilk (all flavors), unsweetened, with added calcium, vitamins A and D"
016500,16500,"Beans, Dry, Medium Red (0% moisture)","LOMA LINDA Little Links, canned, unprepared"
016502,16502,"Beans, Dry, Flor de Mayo (0% moisture)","LOMA LINDA Low Fat Big Franks, canned, unprepared"
016504,16504,"Beans, Dry, Tan (0% moisture)","LOMA LINDA Tender Rounds with Gravy, canned, unprepared"
016505,16505,"Beans, Dry, Light Tan (0% moisture)","LOMA LINDA Swiss Stake with Gravy, canned, unprepared"
016506,16506,"Beans, Dry, Carioca (0% moisture)","LOMA LINDA Vege-Burger, canned, unprepared"
016507,16507,"Beans, Dry, Cranberry (0% moisture)","LOMA LINDA Redi-Burger, canned, unprepared"
016508,16508,"Beans, Dry, Light Red Kidney (0% moisture)","LOMA LINDA Tender Bits, canned, unprepared"
016509,16509,"Beans, Dry, Pink (0% moisture)","LOMA LINDA Linketts, canned, unprepared"
016510,16510,"Beans, Dry, Dark Red Kidney (0% moisture)","WORTHINGTON Chili, canned, unprepared"
